Hello! || Hi there! Welcome to Bank of Kigali. How can I assist you today?
Hi! || Hello! How can I help you with your banking needs?
Good morning. || Good morning! How can I assist you with your account today?
Good evening. || Good evening! Do you need any help with your transactions?

What is my account balance? || Please provide your account number or log into our banking app to check your balance.
Check my balance. || For security reasons, I can't display balances here. Please check via our app or visit a branch.
How much money do I have? || You can check your balance through our mobile app, ATM, or by calling our customer support.

How can I open an account? || You can open an account online at https://www.bk.rw or visit any of our branches with your ID and proof of address.
What are the requirements to open an account? || To open an account, you need a valid ID, proof of address, and an initial deposit.
Can I open an account using USSD? || Yes, you can dial *334# and follow the instructions to open an account.
What is the Bank of Kigali website? || The official website of Bank of Kigali is https://www.bk.rw.
What is the USSD code for Bank of Kigali? || The USSD code for Bank of Kigali is *334#.
How do I check my account balance? || You can check your account balance by dialing *334#, using the mobile app, or logging into online banking.
What is the customer care number? || You can contact Bank of Kigali customer care at +250788143000.

How can I transfer money? || You can transfer money via our mobile app, online banking, or by visiting a branch.
I want to send money to another bank. || You can use our online banking or mobile app to send money to another bank. Would you like step-by-step guidance?
What are the transfer fees? || The transfer fees depend on the amount and destination. Please visit https://www.bk.rw for details.
How do I transfer money? || You can transfer money via the mobile app, online banking, or by dialing *334#.

How do I apply for a loan? || You can apply for a loan online at https://www.bk.rw or visit any of our branches. Would you like me to guide you through the process?
What is the interest rate on personal loans? || Our interest rates vary based on the loan type. Please visit https://www.bk.rw for the latest rates.
Can I increase my loan amount? || You may be eligible for an increase. Please visit a branch or contact our loan department.
What is the interest rate on loans? || Interest rates vary based on the loan type. Please visit https://www.bk.rw for the latest rates.

My card is lost. What should I do? || Immediately call our customer support at [bank number] to block your card.
How do I activate my new debit card? || You can activate your card through online banking, our mobile app, or by visiting an ATM.
What are the withdrawal limits? || Withdrawal limits depend on your account type. Please check our website for more details.
What should I do if I lose my card? || Immediately call customer support at +250788143000 or 4455 to block your card.
How do I activate my new debit card? || You can activate your card through online banking, the mobile app, or by visiting an ATM.
